path,label,group,clip,split
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g21_c01.avi,ApplyLipstick,21,1,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g21_c03.avi,ApplyLipstick,21,3,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g22_c02.avi,ApplyLipstick,22,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g22_c04.avi,ApplyLipstick,22,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g22_c06.avi,ApplyLipstick,22,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g23_c03.avi,ApplyLipstick,23,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\ApplyLipstick\v_ApplyLipstick_g24_c05.avi,ApplyLipstick,24,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\ApplyLipstick\v_ApplyLipstick_g25_c02.avi,ApplyLipstick,25,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g01_c04.avi,Archery,1,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g02_c01.avi,Archery,2,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g02_c05.avi,Archery,2,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g03_c02.avi,Archery,3,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g04_c01.avi,Archery,4,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g04_c03.avi,Archery,4,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g05_c04.avi,Archery,5,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g06_c01.avi,Archery,6,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g06_c03.avi,Archery,6,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g06_c05.avi,Archery,6,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g07_c01.avi,Archery,7,1,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g07_c05.avi,Archery,7,5,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g08_c01.avi,Archery,8,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g09_c02.avi,Archery,9,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g10_c03.avi,Archery,10,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g10_c05.avi,Archery,10,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g11_c04.avi,Archery,11,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g11_c06.avi,Archery,11,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\Archery\v_Archery_g12_c03.avi,Archery,12,3,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g13_c03.avi,Archery,13,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g13_c07.avi,Archery,13,7,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g14_c04.avi,Archery,14,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g15_c02.avi,Archery,15,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\Archery\v_Archery_g16_c01.avi,Archery,16,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\Archery\v_Archery_g16_c03.avi,Archery,16,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\Archery\v_Archery_g16_c05.avi,Archery,16,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\Archery\v_Archery_g17_c02.avi,Archery,17,2,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\Archery\v_Archery_g17_c04.avi,Archery,17,4,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\Archery\v_Archery_g18_c02.avi,Archery,18,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\Archery\v_Archery_g18_c06.avi,Archery,18,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g19_c03.avi,Archery,19,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g20_c05.avi,Archery,20,5,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\Archery\v_Archery_g21_c02.avi,Archery,21,2,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\Archery\v_Archery_g21_c04.avi,Archery,21,4,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g22_c02.avi,Archery,22,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g22_c04.avi,Archery,22,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g23_c05.avi,Archery,23,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g24_c04.avi,Archery,24,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g24_c06.avi,Archery,24,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\Archery\v_Archery_g25_c04.avi,Archery,25,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g01_c03.avi,BabyCrawling,1,3,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g02_c01.avi,BabyCrawling,2,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g02_c03.avi,BabyCrawling,2,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g02_c05.avi,BabyCrawling,2,5,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\BabyCrawling\v_BabyCrawling_g03_c01.avi,BabyCrawling,3,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\BabyCrawling\v_BabyCrawling_g03_c03.avi,BabyCrawling,3,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\BabyCrawling\v_BabyCrawling_g04_c01.avi,BabyCrawling,4,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\test\BabyCrawling\v_BabyCrawling_g04_c03.avi,BabyCrawling,4,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g05_c01.avi,BabyCrawling,5,1,query
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g06_c04.avi,BabyCrawling,6,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g07_c02.avi,BabyCrawling,7,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g07_c06.avi,BabyCrawling,7,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g08_c02.avi,BabyCrawling,8,2,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g08_c04.avi,BabyCrawling,8,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\val\BabyCrawling\v_BabyCrawling_g09_c06.avi,BabyCrawling,9,6,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g10_c04.avi,BabyCrawling,10,4,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g11_c01.avi,BabyCrawling,11,1,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g11_c03.avi,BabyCrawling,11,3,gallery
C:\VU\4th_Year\Independence Term 1\GenerativeAI\MIDTERM\Midterm_GenAI\data\interim\UCF101_subset\train\BabyCrawling\v_BabyCrawling_g12_c03.avi,BabyCrawling,12,3,gallery
